iter	Passed	Remaining
715	27281	10820
716	27314	10781
717	27336	10736
718	27359	10692
719	27384	10649
720	27406	10605
721	27449	10569
722	27510	10539
723	27556	10504
724	27601	10469
725	27643	10432
726	27688	10397
727	27728	10360
728	27781	10327
729	27848	10300
730	27886	10261
731	27918	10221
732	27969	10188
733	28008	10150
734	28046	10112
735	28109	10082
736	28173	10053
737	28223	10019
738	28272	9985
739	28309	9946
740	28350	9909
741	28370	9864
742	28389	9819
743	28425	9780
744	28451	9738
745	28487	9699
746	28530	9662
747	28560	9621
748	28588	9580
749	28604	9534
750	28625	9491
751	28646	9447
752	28676	9406
753	28709	9366
754	28738	9325
755	28771	9285
756	28807	9247
757	28862	9214
758	28903	9177
759	28955	9143
760	28989	9104
761	29020	9064
762	29069	9029
763	29112	8992
764	29133	8949
765	29163	8908
766	29214	8874
767	29250	8836
768	29278	8794
769	29334	8762
770	29376	8725
771	29394	8681
772	29413	8637
773	29443	8597
774	29477	8557
775	29532	8524
776	29576	8488
777	29621	8452
778	29658	8413
779	29688	8373
780	29716	8332
781	29767	8298
782	29813	8262
783	29848	8223
784	29894	8187
785	29925	8147
786	29963	8109
787	29993	8069
788	30029	8030
789	30063	7991
790	30102	7953
791	30151	7918
792	30192	7881
793	30217	7839
794	30249	7800
795	30297	7764
796	30337	7727
797	30376	7689
798	30409	7649
799	30465	7616
800	30506	7579
801	30535	7538
802	30590	7504
803	30632	7467
804	30669	7429
805	30690	7387
806	30723	7347
807	30760	7309
808	30788	7268
809	30819	7229
810	30869	7194
811	30905	7155
812	30941	7116
813	30984	7079
814	31014	7040
815	31046	7000
816	31082	6962
817	31121	6924
818	31173	6889
819	31211	6851
820	31245	6812
821	31277	6772
822	31310	6733
823	31339	6693
824	31371	6654
825	31405	6615
826	31436	6576
827	31469	6537
828	31501	6497
829	31539	6459
830	31565	6419
831	31600	6380
832	31635	6342
833	31680	6305
834	31711	6266
835	31748	6228
836	31792	6191
837	31827	6152
838	31855	6112
839	31881	6072
840	31908	6032
841	31937	5992
842	31974	5954
843	32026	5919
844	32075	5883
845	32108	5844
846	32141	5805
847	32176	5767
848	32209	5728
849	32240	5689
850	32290	5653
851	32328	5615
852	32390	5582
853	32448	5547
854	32489	5509
855	32520	5470
856	32551	5431
857	32584	5392
858	32629	5355
859	32658	5316
860	32687	5276
861	32709	5236
862	32755	5199
863	32809	5164
864	32835	5124
865	32864	5085
866	32887	5045
867	32915	5005
868	32941	4965
869	32965	4925
870	33011	4889
871	33036	4849
872	33072	4811
873	33094	4771
874	33124	4732
875	33160	4693
876	33191	4655
877	33233	4617
878	33263	4578
879	33295	4540
880	33334	4502
881	33371	4464
882	33405	4426
883	33470	4392
884	33502	4353
885	33534	4314
886	33566	4276
887	33593	4237
888	33624	4198
889	33678	4162
890	33718	4124
891	33778	4089
892	33814	4051
893	33883	4017
894	33937	3981
895	33980	3944
896	34035	3908
897	34091	3872
898	34133	3834
899	34180	3797
900	34220	3760
901	34283	3724
902	34351	3690
903	34399	3653
904	34442	3615
905	34479	3577
906	34509	3538
907	34538	3499
908	34563	3460
909	34593	3421
910	34630	3383
911	34674	3345
912	34722	3308
913	34760	3270
914	34794	3232
915	34817	3192
916	34852	3154
917	34891	3116
918	34970	3082
919	35026	3045
920	35091	3010
921	35164	2974
922	35198	2936
923	35258	2900
924	35313	2863
925	35350	2824
926	35400	2787
927	35435	2749
928	35475	2711
929	35513	2673
930	35564	2635
931	35613	2598
932	35649	2560
933	35684	2521
934	35707	2482
935	35738	2443
936	35803	2407
937	35858	2370
938	35899	2332
939	35940	2294
940	35962	2254
941	36022	2217
942	36075	2180
943	36114	2142
944	36151	2104
945	36187	2065
946	36223	2027
947	36287	1990
948	36324	1952
949	36375	1914
950	36436	1877
951	36481	1839
952	36546	1802
953	36587	1764
954	36628	1725
955	36679	1688
956	36699	1648
957	36731	1610
958	36764	1571
959	36785	1532
960	36811	1493
961	36850	1455
962	36880	1417
963	36914	1378
964	36960	1340
965	36996	1302
966	37035	1263
967	37074	1225
968	37113	1187
969	37165	1149
970	37198	1110
971	37234	1072
972	37286	1034
973	37323	996
974	37364	958
975	37401	919
976	37460	881
977	37510	843
978	37545	805
979	37578	766
980	37611	728
981	37649	690
982	37690	651
983	37758	613
984	37803	575
985	37865	537
986	37904	499
987	37963	461
988	38004	422
989	38043	384
990	38081	345
991	38121	307
992	38163	269
993	38201	230
994	38238	192
995	38283	153
996	38335	115
997	38374	76
998	38408	38
999	38458	0
